As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Nov 26, 2013",457.75,62.42,--,"13,462,500.00"
"Nov 25, 2013",458.63,62.54,--,"13,462,500.00"
"Nov 22, 2013",458.15,62.48,--,"13,462,500.00"
"Nov 21, 2013",459.48,62.66,--,"13,462,500.00"
"Nov 20, 2013",463.71,63.24,--,"13,462,500.00"
"Nov 19, 2013",467.06,63.69,--,"13,387,500.00"
"Nov 18, 2013",461.80,62.98,--,"13,331,250.00"
"Nov 15, 2013",458.84,62.58,--,"13,331,250.00"
"Nov 14, 2013",457.16,62.35,--,"13,331,250.00"
"Nov 13, 2013",455.67,62.14,--,"13,331,250.00"
"Nov 12, 2013",458.99,62.60,--,"13,331,250.00"
"Nov 11, 2013",462.52,63.08,--,"13,387,500.00"
"Nov 08, 2013",465.71,63.52,--,"13,387,500.00"
"Nov 07, 2013",465.90,63.54,--,"13,387,500.00"
"Nov 06, 2013",465.57,63.50,--,"13,387,500.00"
"Nov 05, 2013",467.38,63.75,--,"13,387,500.00"
"Nov 04, 2013",467.38,63.75,--,"13,443,750.00"
"Nov 01, 2013",468.57,63.91,--,"13,443,750.00"
"Oct 31, 2013",469.83,64.09,--,"13,443,750.00"
"Oct 30, 2013",473.86,64.64,--,"13,443,750.00"
"Oct 29, 2013",473.29,64.56,--,"13,443,750.00"
"Oct 28, 2013",475.70,64.89,--,"13,443,750.00"
"Oct 25, 2013",472.44,64.45,--,"13,387,500.00"
"Oct 24, 2013",471.88,64.37,--,"13,387,500.00"
"Oct 23, 2013",469.92,64.11,--,"13,387,500.00"
"Oct 22, 2013",466.45,63.64,--,"13,387,500.00"
"Oct 21, 2013",466.88,63.69,--,"13,387,500.00"
"Oct 18, 2013",467.71,63.81,--,"13,387,500.00"
"Oct 17, 2013",467.50,63.78,--,"13,387,500.00"
"Oct 16, 2013",462.50,63.10,--,"13,387,500.00"
"Oct 15, 2013",459.82,62.74,--,"13,387,500.00"
"Oct 14, 2013",459.82,62.74,--,"13,387,500.00"
"Oct 11, 2013",460.36,62.82,--,"13,387,500.00"
"Oct 10, 2013",456.15,62.25,--,"13,387,500.00"
"Oct 09, 2013",453.09,61.83,--,"13,387,500.00"
"Oct 08, 2013",455.75,62.19,--,"13,387,500.00"
"Oct 07, 2013",456.70,62.32,--,"13,387,500.00"
"Oct 04, 2013",457.43,62.42,--,"13,387,500.00"
"Oct 03, 2013",454.26,61.99,--,"13,387,500.00"
"Oct 02, 2013",449.69,61.37,--,"13,387,500.00"
"Oct 01, 2013",448.18,61.17,--,"13,387,500.00"
"Sep 30, 2013",444.16,60.62,--,"13,500,000.00"
"Sep 27, 2013",450.13,61.44,--,"13,500,000.00"
"Sep 26, 2013",451.26,61.59,--,"13,500,000.00"
"Sep 25, 2013",452.81,61.80,--,"13,500,000.00"
"Sep 24, 2013",456.15,62.26,--,"13,500,000.00"
"Sep 23, 2013",458.57,62.59,--,"13,500,000.00"
"Sep 20, 2013",464.82,63.44,--,"13,500,000.00"
"Sep 19, 2013",464.32,63.38,--,"13,500,000.00"
"Sep 18, 2013",446.53,60.95,--,"13,500,000.00"
"Sep 17, 2013",445.44,60.80,--,"13,500,000.00"
"Sep 16, 2013",438.51,59.86,--,"13,500,000.00"
"Sep 13, 2013",438.51,59.86,--,"13,500,000.00"
"Sep 12, 2013",440.42,60.12,--,"13,500,000.00"
"Sep 11, 2013",441.36,60.25,--,"13,500,000.00"
"Sep 10, 2013",438.54,59.87,--,"13,650,000.00"
"Sep 09, 2013",431.68,58.94,--,"13,650,000.00"
"Sep 06, 2013",421.25,57.52,--,"13,650,000.00"
"Sep 05, 2013",423.51,57.83,--,"13,818,750.00"
"Sep 04, 2013",424.75,57.99,--,"13,856,250.00"
"Sep 03, 2013",426.13,58.18,--,"13,856,250.00"
"Aug 30, 2013",427.60,58.38,--,"14,175,000.00"
"Aug 29, 2013",417.43,56.99,--,"14,606,250.00"
"Aug 28, 2013",410.41,56.03,--,"14,700,000.00"
"Aug 27, 2013",415.33,56.70,--,"14,850,000.00"
"Aug 26, 2013",422.97,57.75,--,"14,962,500.00"
"Aug 23, 2013",423.78,57.86,--,"15,243,750.00"
"Aug 22, 2013",422.76,57.72,--,"15,281,250.00"
"Aug 21, 2013",431.24,58.87,--,"15,468,750.00"
"Aug 20, 2013",432.41,59.04,--,"15,468,750.00"
"Aug 19, 2013",441.01,60.21,--,"15,656,250.00"
"Aug 16, 2013",445.31,60.80,--,"15,656,250.00"
"Aug 15, 2013",446.28,60.93,--,"15,656,250.00"
"Aug 14, 2013",447.25,61.06,--,"15,656,250.00"
"Aug 13, 2013",449.65,61.39,--,"15,656,250.00"
"Aug 12, 2013",448.17,61.19,--,"15,656,250.00"
"Aug 09, 2013",445.85,60.88,--,"15,656,250.00"
"Aug 08, 2013",445.85,60.88,--,"15,656,250.00"
"Aug 07, 2013",445.85,60.88,--,"15,656,250.00"
"Aug 06, 2013",448.46,61.24,--,"15,656,250.00"
"Aug 05, 2013",450.15,61.47,--,"15,656,250.00"
"Aug 02, 2013",446.12,60.92,--,"15,656,250.00"
"Aug 01, 2013",446.78,61.01,--,"15,787,500.00"
"Jul 31, 2013",445.65,60.86,--,"15,787,500.00"
"Jul 30, 2013",454.56,62.07,--,"15,787,500.00"
"Jul 29, 2013",455.69,62.22,--,"15,787,500.00"
"Jul 26, 2013",460.62,62.89,--,"15,787,500.00"
"Jul 25, 2013",462.24,63.11,--,"15,787,500.00"
"Jul 24, 2013",463.97,63.35,--,"15,675,000.00"
"Jul 23, 2013",464.56,63.43,--,"15,637,500.00"
"Jul 22, 2013",461.93,63.08,--,"15,637,500.00"
"Jul 19, 2013",460.42,62.87,--,"15,637,500.00"
"Jul 18, 2013",458.61,62.63,--,"15,637,500.00"
"Jul 17, 2013",457.96,62.54,--,"15,637,500.00"
"Jul 16, 2013",457.96,62.54,--,"15,637,500.00"
"Jul 15, 2013",457.53,62.48,--,"15,637,500.00"
"Jul 12, 2013",459.13,62.70,--,"15,637,500.00"
"Jul 11, 2013",458.86,62.67,--,"15,637,500.00"
"Jul 10, 2013",454.21,62.03,--,"15,637,500.00"
"Jul 09, 2013",452.56,61.81,--,"15,637,500.00"
"Jul 08, 2013",448.35,61.24,--,"15,637,500.00"
"Jul 05, 2013",454.17,62.03,--,"15,637,500.00"
"Jul 03, 2013",453.24,61.91,--,"15,637,500.00"
"Jul 02, 2013",456.65,62.37,--,"15,637,500.00"
"Jul 01, 2013",458.08,62.57,--,"15,637,500.00"
"Jun 28, 2013",457.91,62.55,--,"15,637,500.00"
"Jun 27, 2013",449.29,61.38,0.89,"15,525,000.00"
"Jun 26, 2013",441.93,61.25,--,"15,525,000.00"
"Jun 25, 2013",440.75,61.10,--,"15,581,250.00"
"Jun 24, 2013",438.36,60.77,--,"15,581,250.00"
"Jun 21, 2013",445.30,61.73,--,"15,581,250.00"
"Jun 20, 2013",448.52,62.18,--,"15,731,250.00"
"Jun 19, 2013",458.37,63.54,--,"15,731,250.00"
"Jun 18, 2013",458.04,63.49,--,"15,731,250.00"
"Jun 17, 2013",460.36,63.82,--,"15,731,250.00"
"Jun 14, 2013",460.27,63.81,--,"15,731,250.00"
"Jun 13, 2013",452.51,62.74,--,"15,787,500.00"
"Jun 12, 2013",461.79,64.02,--,"15,787,500.00"
"Jun 11, 2013",460.44,63.83,--,"15,787,500.00"
"Jun 10, 2013",465.78,64.57,--,"15,787,500.00"
"Jun 07, 2013",467.43,64.81,--,"15,787,500.00"
"Jun 06, 2013",466.74,64.72,--,"15,787,500.00"
"Jun 05, 2013",469.27,65.06,--,"15,787,500.00"
"Jun 04, 2013",467.78,64.86,--,"15,712,500.00"
"Jun 03, 2013",463.29,64.24,--,"15,712,500.00"
"May 31, 2013",464.96,64.47,--,"15,712,500.00"
"May 30, 2013",469.34,65.07,--,"15,712,500.00"
"May 29, 2013",470.92,65.29,--,"15,712,500.00"
"May 28, 2013",474.35,65.77,--,"15,712,500.00"
"May 24, 2013",473.61,65.67,--,"15,712,500.00"
"May 23, 2013",473.61,65.67,--,"15,712,500.00"
"May 22, 2013",478.98,66.41,--,"15,712,500.00"
"May 21, 2013",480.78,66.67,--,"15,712,500.00"
"May 20, 2013",478.24,66.32,--,"15,712,500.00"
"May 17, 2013",473.95,65.73,--,"15,712,500.00"
"May 16, 2013",474.46,65.80,--,"15,712,500.00"
"May 15, 2013",480.57,66.64,--,"15,712,500.00"
"May 14, 2013",483.41,67.04,--,"15,712,500.00"
"May 13, 2013",482.01,66.84,--,"15,712,500.00"
"May 10, 2013",479.12,66.45,--,"15,712,500.00"
"May 09, 2013",478.57,66.38,--,"15,712,500.00"
"May 08, 2013",482.24,66.89,--,"15,712,500.00"
"May 07, 2013",480.16,66.60,--,"15,618,750.00"
"May 06, 2013",473.23,65.65,--,"15,543,750.00"
"May 03, 2013",446.64,61.97,--,"15,543,750.00"
"May 02, 2013",448.61,62.25,--,"15,543,750.00"
"May 01, 2013",451.26,62.61,--,"15,543,750.00"
"Apr 30, 2013",451.26,62.61,--,"15,543,750.00"
"Apr 29, 2013",450.26,62.47,--,"15,543,750.00"
"Apr 26, 2013",450.76,62.54,--,"15,543,750.00"
"Apr 25, 2013",449.26,62.34,--,"15,543,750.00"
"Apr 24, 2013",446.88,62.01,--,"15,543,750.00"
"Apr 23, 2013",443.86,61.59,--,"15,543,750.00"
"Apr 22, 2013",446.73,61.99,--,"15,543,750.00"
"Apr 19, 2013",449.61,62.39,--,"15,543,750.00"
"Apr 18, 2013",450.21,62.48,--,"15,543,750.00"
"Apr 17, 2013",451.95,62.72,--,"15,656,250.00"
"Apr 16, 2013",447.61,62.12,--,"15,656,250.00"
"Apr 15, 2013",446.55,61.97,--,"15,656,250.00"
"Apr 12, 2013",447.03,62.04,--,"15,656,250.00"
"Apr 11, 2013",450.40,62.51,--,"15,656,250.00"
"Apr 10, 2013",448.58,62.26,--,"15,656,250.00"
"Apr 09, 2013",446.19,61.93,--,"15,656,250.00"
"Apr 08, 2013",442.03,61.35,--,"15,656,250.00"
"Apr 05, 2013",442.54,61.42,--,"15,656,250.00"
"Apr 04, 2013",438.20,60.82,--,"15,656,250.00"
"Apr 03, 2013",436.98,60.66,--,"15,656,250.00"
"Apr 02, 2013",435.45,60.44,--,"15,881,250.00"
"Apr 01, 2013",430.26,59.73,--,"15,956,250.00"
"Mar 28, 2013",431.80,59.94,--,"15,956,250.00"
"Mar 27, 2013",429.72,59.65,--,"16,031,250.00"
"Mar 26, 2013",426.10,59.15,--,"16,031,250.00"
"Mar 25, 2013",423.70,58.82,--,"16,031,250.00"
"Mar 22, 2013",417.35,57.95,--,"16,031,250.00"
"Mar 21, 2013",417.46,57.96,--,"16,031,250.00"
"Mar 20, 2013",417.03,57.90,--,"16,031,250.00"
"Mar 19, 2013",415.33,57.67,--,"16,031,250.00"
"Mar 18, 2013",412.98,57.34,--,"16,031,250.00"
"Mar 15, 2013",416.10,57.78,--,"16,031,250.00"
"Mar 14, 2013",420.28,58.36,--,"16,031,250.00"
"Mar 13, 2013",421.84,58.58,--,"16,031,250.00"
"Mar 12, 2013",424.44,58.94,--,"16,031,250.00"
"Mar 11, 2013",424.27,58.92,--,"16,031,250.00"
"Mar 08, 2013",423.80,58.85,--,"15,768,750.00"
"Mar 07, 2013",422.54,58.68,--,"15,693,750.00"
"Mar 06, 2013",422.72,58.70,--,"15,693,750.00"
"Mar 05, 2013",420.51,58.40,--,"15,693,750.00"
"Mar 04, 2013",418.47,58.12,--,"15,693,750.00"
"Mar 01, 2013",420.34,58.38,--,"15,525,000.00"
"Feb 28, 2013",420.77,58.44,--,"15,412,500.00"
"Feb 27, 2013",415.56,57.72,--,"15,412,500.00"
"Feb 26, 2013",415.34,57.69,--,"15,412,500.00"
"Feb 25, 2013",416.81,57.89,--,"15,412,500.00"
"Feb 22, 2013",414.99,57.64,--,"15,412,500.00"
"Feb 21, 2013",411.53,57.16,--,"15,412,500.00"
"Feb 20, 2013",412.64,57.32,--,"15,412,500.00"
"Feb 19, 2013",411.64,57.18,--,"15,412,500.00"
"Feb 15, 2013",416.26,57.82,--,"15,412,500.00"
"Feb 14, 2013",417.56,58.01,--,"15,412,500.00"
"Feb 13, 2013",417.54,58.00,--,"15,412,500.00"
"Feb 12, 2013",414.47,57.58,--,"15,412,500.00"
"Feb 11, 2013",414.47,57.58,--,"15,412,500.00"
"Feb 08, 2013",414.47,57.58,--,"15,412,500.00"
"Feb 07, 2013",414.21,57.55,--,"15,412,500.00"
"Feb 06, 2013",412.64,57.33,--,"15,412,500.00"
"Feb 05, 2013",418.91,58.20,--,"15,412,500.00"
"Feb 04, 2013",418.99,58.21,--,"15,412,500.00"
"Feb 01, 2013",414.19,57.55,--,"15,412,500.00"
"Jan 31, 2013",414.19,57.55,--,"15,412,500.00"
"Jan 30, 2013",417.50,58.01,--,"15,412,500.00"
"Jan 29, 2013",420.59,58.44,--,"15,412,500.00"
"Jan 28, 2013",424.69,59.01,--,"15,412,500.00"
"Jan 25, 2013",424.69,59.01,--,"15,412,500.00"
"Jan 24, 2013",424.21,58.95,--,"15,412,500.00"
"Jan 23, 2013",424.21,58.95,--,"15,412,500.00"
"Jan 22, 2013",422.59,58.72,--,"15,412,500.00"
"Jan 18, 2013",439.04,61.01,--,"15,412,500.00"
"Jan 17, 2013",439.63,61.09,--,"15,412,500.00"
"Jan 16, 2013",439.42,61.06,--,"15,412,500.00"
"Jan 15, 2013",440.96,61.28,--,"15,412,500.00"
"Jan 14, 2013",439.60,61.09,--,"15,675,000.00"
"Jan 11, 2013",438.59,60.95,--,"15,675,000.00"
"Jan 10, 2013",438.40,60.93,--,"15,675,000.00"
"Jan 09, 2013",438.24,60.91,--,"15,675,000.00"
"Jan 08, 2013",437.62,60.82,--,"15,787,500.00"
"Jan 07, 2013",438.83,60.99,--,"15,787,500.00"
"Jan 04, 2013",437.34,60.78,--,"15,881,250.00"
"Jan 03, 2013",439.36,61.07,--,"15,881,250.00"
"Jan 02, 2013",433.96,60.32,--,"16,068,750.00"
"Dec 31, 2012",434.88,60.44,--,"16,068,750.00"
"Dec 28, 2012",431.09,59.92,--,"16,068,750.00"
"Dec 27, 2012",429.29,59.67,--,"16,068,750.00"
"Dec 26, 2012",427.60,59.44,--,"16,068,750.00"
"Dec 24, 2012",427.48,59.42,--,"16,068,750.00"
"Dec 21, 2012",425.87,59.20,--,"16,068,750.00"
"Dec 20, 2012",429.71,59.74,--,"16,312,500.00"
"Dec 19, 2012",428.82,59.61,--,"16,406,250.00"
"Dec 18, 2012",426.23,59.26,0.59,"16,406,250.00"
"Dec 17, 2012",423.55,59.47,--,"16,406,250.00"
"Dec 14, 2012",424.51,59.60,--,"16,406,250.00"
"Dec 13, 2012",424.97,59.67,--,"16,406,250.00"
"Dec 12, 2012",424.90,59.66,--,"16,406,250.00"
"Dec 11, 2012",422.20,59.28,--,"16,406,250.00"
"Dec 10, 2012",419.70,58.93,--,"16,406,250.00"
"Dec 07, 2012",417.03,58.56,--,"16,406,250.00"
"Dec 06, 2012",417.80,58.67,--,"16,406,250.00"
"Dec 05, 2012",418.19,58.73,--,"16,406,250.00"
"Dec 04, 2012",416.25,58.46,--,"16,406,250.00"
"Dec 03, 2012",416.76,58.53,--,"16,481,250.00"
"Nov 30, 2012",417.98,58.70,--,"16,481,250.00"
"Nov 29, 2012",416.70,58.52,--,"16,481,250.00"
"Nov 28, 2012",415.27,58.32,--,"16,481,250.00"
"Nov 27, 2012",413.82,58.12,--,"16,481,250.00"
"Nov 26, 2012",415.29,58.33,--,"16,481,250.00"
"Nov 23, 2012",416.79,58.54,--,"16,481,250.00"
"Nov 21, 2012",418.48,58.78,--,"16,481,250.00"
"Nov 20, 2012",418.98,58.85,--,"16,481,250.00"
"Nov 19, 2012",418.24,58.75,--,"16,481,250.00"
"Nov 16, 2012",418.72,58.82,--,"16,481,250.00"
"Nov 15, 2012",420.98,59.13,--,"16,481,250.00"
"Nov 14, 2012",420.98,59.13,--,"16,481,250.00"
"Nov 13, 2012",422.07,59.29,--,"16,481,250.00"
"Nov 12, 2012",422.07,59.29,--,"16,481,250.00"
"Nov 09, 2012",423.08,59.43,--,"16,481,250.00"
"Nov 08, 2012",423.30,59.46,--,"16,481,250.00"
"Nov 07, 2012",426.37,59.90,--,"16,481,250.00"
"Nov 06, 2012",424.51,59.64,--,"16,481,250.00"
"Nov 05, 2012",425.41,59.76,--,"16,481,250.00"
"Nov 02, 2012",426.94,59.98,--,"16,481,250.00"
"Nov 01, 2012",430.47,60.48,--,"16,481,250.00"
"Oct 31, 2012",429.78,60.38,--,"16,481,250.00"
"Oct 26, 2012",430.66,60.51,--,"16,481,250.00"
"Oct 25, 2012",430.66,60.51,--,"16,481,250.00"
"Oct 24, 2012",426.86,59.98,--,"16,481,250.00"
"Oct 23, 2012",426.34,59.91,--,"16,481,250.00"
"Oct 22, 2012",426.38,59.91,--,"16,481,250.00"
"Oct 19, 2012",427.73,60.10,--,"16,481,250.00"
"Oct 18, 2012",430.32,60.47,--,"16,481,250.00"
"Oct 17, 2012",428.73,60.25,--,"16,481,250.00"
"Oct 16, 2012",425.19,59.75,--,"16,481,250.00"
"Oct 15, 2012",424.96,59.72,--,"16,481,250.00"
"Oct 12, 2012",424.63,59.68,--,"16,481,250.00"
"Oct 11, 2012",423.65,59.54,--,"16,481,250.00"
"Oct 10, 2012",423.49,59.52,--,"16,481,250.00"
"Oct 09, 2012",425.01,59.73,--,"16,481,250.00"
"Oct 08, 2012",424.71,59.69,--,"16,481,250.00"
"Oct 05, 2012",426.08,59.88,--,"16,481,250.00"
"Oct 04, 2012",426.36,59.92,--,"16,481,250.00"
"Oct 03, 2012",422.87,59.44,--,"16,481,250.00"
"Oct 02, 2012",424.30,59.64,--,"16,481,250.00"
"Oct 01, 2012",420.85,59.16,--,"16,481,250.00"
"Sep 28, 2012",419.34,58.95,--,"16,481,250.00"
"Sep 27, 2012",413.84,58.18,--,"16,481,250.00"
"Sep 26, 2012",411.55,57.86,--,"16,481,250.00"
"Sep 25, 2012",413.46,58.13,--,"16,518,750.00"
"Sep 24, 2012",412.99,58.07,--,"16,518,750.00"
"Sep 21, 2012",418.28,58.81,--,"16,518,750.00"
"Sep 20, 2012",415.59,58.43,--,"16,425,000.00"
"Sep 19, 2012",421.43,59.26,--,"16,425,000.00"
"Sep 18, 2012",420.00,59.06,--,"16,425,000.00"
"Sep 17, 2012",423.80,59.59,--,"16,425,000.00"
"Sep 14, 2012",423.80,59.59,--,"16,256,250.00"
"Sep 13, 2012",413.94,58.21,--,"16,181,250.00"
"Sep 12, 2012",410.58,57.74,--,"16,181,250.00"
"Sep 11, 2012",407.79,57.35,--,"16,181,250.00"
"Sep 10, 2012",407.91,57.36,--,"16,181,250.00"
"Sep 07, 2012",408.56,57.46,--,"16,125,000.00"
"Sep 06, 2012",406.24,57.13,--,"16,125,000.00"
"Sep 05, 2012",411.52,57.87,--,"16,125,000.00"
"Sep 04, 2012",416.76,58.61,--,"16,125,000.00"
"Aug 31, 2012",413.04,58.09,--,"16,125,000.00"
"Aug 30, 2012",413.04,58.09,--,"16,125,000.00"
"Aug 29, 2012",412.79,58.06,--,"16,125,000.00"
"Aug 28, 2012",414.68,58.32,--,"16,125,000.00"
"Aug 27, 2012",416.04,58.51,--,"16,125,000.00"
"Aug 24, 2012",417.26,58.69,--,"16,125,000.00"
"Aug 23, 2012",419.06,58.94,--,"16,125,000.00"
"Aug 22, 2012",415.97,58.51,--,"16,125,000.00"
"Aug 21, 2012",412.96,58.09,--,"16,125,000.00"
"Aug 20, 2012",412.96,58.09,--,"16,125,000.00"
"Aug 17, 2012",412.96,58.09,--,"16,125,000.00"
"Aug 16, 2012",414.30,58.28,--,"16,012,500.00"
"Aug 15, 2012",415.78,58.49,--,"16,012,500.00"
"Aug 14, 2012",417.07,58.67,--,"16,012,500.00"
"Aug 13, 2012",414.54,58.32,--,"16,012,500.00"
"Aug 10, 2012",414.68,58.34,--,"16,012,500.00"
"Aug 09, 2012",415.39,58.44,--,"16,012,500.00"
"Aug 08, 2012",413.15,58.13,--,"15,937,500.00"
"Aug 07, 2012",412.31,58.01,--,"15,937,500.00"
"Aug 06, 2012",414.37,58.30,--,"15,937,500.00"
"Aug 03, 2012",411.22,57.86,--,"15,993,750.00"
"Aug 02, 2012",411.63,57.91,--,"15,993,750.00"
"Aug 01, 2012",412.55,58.04,--,"15,993,750.00"
"Jul 31, 2012",410.46,57.75,--,"15,843,750.00"
"Jul 30, 2012",407.52,57.34,--,"15,843,750.00"
"Jul 27, 2012",404.44,56.91,--,"15,843,750.00"
"Jul 26, 2012",402.30,56.61,--,"15,843,750.00"
"Jul 25, 2012",405.46,57.05,--,"15,843,750.00"
"Jul 24, 2012",404.44,56.91,--,"15,843,750.00"
"Jul 23, 2012",406.45,57.19,--,"15,843,750.00"
"Jul 20, 2012",411.21,57.86,--,"15,806,250.00"
"Jul 19, 2012",410.42,57.75,--,"15,806,250.00"
"Jul 18, 2012",409.15,57.58,--,"15,806,250.00"
"Jul 17, 2012",407.92,57.40,--,"15,806,250.00"
"Jul 16, 2012",405.58,57.08,--,"15,806,250.00"
"Jul 13, 2012",402.72,56.68,--,"15,806,250.00"
"Jul 12, 2012",401.92,56.57,--,"15,806,250.00"
"Jul 11, 2012",404.68,56.95,--,"15,806,250.00"
"Jul 10, 2012",404.48,56.93,--,"15,806,250.00"
"Jul 09, 2012",402.01,56.58,--,"15,806,250.00"
"Jul 06, 2012",404.13,56.88,--,"15,806,250.00"
"Jul 05, 2012",403.78,56.83,--,"15,806,250.00"
"Jul 03, 2012",403.67,56.82,--,"15,693,750.00"
"Jul 02, 2012",400.42,56.36,--,"15,693,750.00"
"Jun 29, 2012",398.11,56.04,--,"15,693,750.00"
"Jun 28, 2012",394.20,55.49,--,"15,693,750.00"
"Jun 27, 2012",395.78,55.71,--,"15,693,750.00"
"Jun 26, 2012",394.05,55.48,--,"15,693,750.00"
"Jun 25, 2012",395.79,55.73,--,"15,693,750.00"
"Jun 22, 2012",397.01,55.90,--,"15,693,750.00"
"Jun 21, 2012",398.58,56.12,0.37,"15,618,750.00"
"Jun 20, 2012",401.33,56.88,--,"15,618,750.00"
"Jun 19, 2012",399.05,56.56,--,"15,618,750.00"
"Jun 18, 2012",395.85,56.11,--,"15,618,750.00"
"Jun 15, 2012",394.34,55.90,--,"15,618,750.00"
"Jun 14, 2012",388.60,55.09,--,"15,618,750.00"
"Jun 13, 2012",391.65,55.52,--,"15,618,750.00"
"Jun 12, 2012",390.85,55.41,--,"15,618,750.00"
"Jun 11, 2012",393.19,55.74,--,"15,618,750.00"
"Jun 08, 2012",388.72,55.11,--,"15,618,750.00"
"Jun 07, 2012",393.40,55.78,--,"15,618,750.00"
"Jun 06, 2012",389.55,55.23,--,"15,618,750.00"
"Jun 05, 2012",383.78,54.42,--,"15,618,750.00"
"Jun 04, 2012",382.60,54.25,--,"15,618,750.00"
"Jun 01, 2012",387.90,55.00,--,"15,618,750.00"
"May 31, 2012",392.87,55.70,--,"15,618,750.00"
"May 30, 2012",392.80,55.69,--,"15,618,750.00"
"May 29, 2012",392.01,55.58,--,"15,618,750.00"
"May 25, 2012",386.98,54.88,--,"15,618,750.00"
"May 24, 2012",386.20,54.77,--,"15,618,750.00"
"May 23, 2012",385.21,54.63,--,"15,618,750.00"
"May 22, 2012",390.75,55.41,--,"15,618,750.00"
"May 21, 2012",386.14,54.76,--,"15,618,750.00"
"May 18, 2012",384.97,54.60,--,"15,618,750.00"
"May 17, 2012",390.46,55.38,--,"15,618,750.00"
"May 16, 2012",387.42,54.95,--,"15,618,750.00"
"May 15, 2012",398.88,56.57,--,"15,618,750.00"
"May 14, 2012",403.23,57.19,--,"15,618,750.00"
"May 11, 2012",406.62,57.67,--,"15,618,750.00"
"May 10, 2012",408.34,57.92,--,"15,618,750.00"
"May 09, 2012",407.20,57.75,--,"15,618,750.00"
"May 08, 2012",410.97,58.29,--,"15,618,750.00"
"May 07, 2012",409.84,58.13,--,"15,618,750.00"
"May 04, 2012",413.20,58.61,--,"15,618,750.00"
"May 03, 2012",412.50,58.51,--,"15,618,750.00"
"May 02, 2012",412.66,58.53,--,"15,618,750.00"
"May 01, 2012",409.91,58.15,--,"15,618,750.00"
"Apr 30, 2012",409.91,58.15,--,"15,618,750.00"
"Apr 27, 2012",407.00,57.74,--,"15,618,750.00"
"Apr 26, 2012",407.96,57.87,--,"15,618,750.00"
"Apr 25, 2012",407.23,57.77,--,"15,618,750.00"
"Apr 24, 2012",407.49,57.81,--,"15,618,750.00"
"Apr 23, 2012",407.71,57.84,--,"15,618,750.00"
"Apr 20, 2012",409.82,58.14,--,"15,618,750.00"
"Apr 19, 2012",411.51,58.38,--,"15,618,750.00"
"Apr 18, 2012",412.11,58.47,--,"15,618,750.00"
"Apr 17, 2012",411.34,58.36,--,"15,768,750.00"
"Apr 16, 2012",411.95,58.45,--,"15,768,750.00"
"Apr 13, 2012",415.18,58.91,--,"15,768,750.00"
"Apr 12, 2012",412.88,58.58,--,"15,825,000.00"
"Apr 11, 2012",410.68,58.27,--,"15,825,000.00"
"Apr 10, 2012",410.68,58.27,--,"15,881,250.00"
"Apr 09, 2012",409.95,58.17,--,"15,881,250.00"
"Apr 05, 2012",411.20,58.35,--,"15,937,500.00"
"Apr 04, 2012",413.27,58.64,--,"15,937,500.00"
"Apr 03, 2012",417.32,59.22,--,"15,937,500.00"
"Apr 02, 2012",416.17,59.06,--,"15,937,500.00"
"Mar 30, 2012",413.12,58.63,--,"16,050,000.00"
"Mar 29, 2012",409.50,58.12,--,"16,106,250.00"
"Mar 28, 2012",409.56,58.12,--,"16,125,000.00"
"Mar 27, 2012",411.87,58.45,--,"16,125,000.00"
"Mar 26, 2012",--,57.82,--,"16,181,250.00"
"Mar 23, 2012",--,58.00,--,"16,181,250.00"
"Mar 22, 2012",407.39,57.82,--,"16,181,250.00"
"Mar 21, 2012",408.42,57.97,--,"16,181,250.00"
"Mar 20, 2012",406.43,57.69,--,"16,181,250.00"
"Mar 19, 2012",409.09,58.06,--,"16,181,250.00"
"Mar 16, 2012",407.62,57.85,--,"16,237,500.00"
"Mar 15, 2012",410.04,58.20,--,"16,237,500.00"
"Mar 14, 2012",409.87,58.17,--,"16,237,500.00"
"Mar 13, 2012",408.43,57.97,--,"16,237,500.00"
"Mar 12, 2012",409.33,58.10,--,"16,237,500.00"
"Mar 09, 2012",415.14,58.93,--,"16,237,500.00"
"Mar 08, 2012",414.38,58.82,--,"16,237,500.00"
"Mar 07, 2012",411.10,58.36,--,"16,237,500.00"
"Mar 06, 2012",415.47,58.98,--,"16,237,500.00"
"Mar 05, 2012",416.03,59.06,--,"16,237,500.00"
"Mar 02, 2012",417.24,59.23,--,"16,237,500.00"
"Mar 01, 2012",414.67,58.87,--,"16,237,500.00"
"Feb 29, 2012",414.59,58.85,--,"16,237,500.00"
"Feb 28, 2012",409.52,58.13,--,"16,237,500.00"
"Feb 27, 2012",408.20,57.94,--,"16,237,500.00"
"Feb 24, 2012",409.76,58.17,--,"16,237,500.00"
"Feb 23, 2012",409.17,58.08,--,"16,125,000.00"
"Feb 22, 2012",409.22,58.09,--,"16,125,000.00"
"Feb 21, 2012",411.43,58.41,--,"16,125,000.00"
"Feb 17, 2012",406.18,57.67,--,"16,125,000.00"
"Feb 16, 2012",402.09,57.09,--,"16,125,000.00"
"Feb 15, 2012",407.88,57.91,--,"16,125,000.00"
"Feb 14, 2012",407.10,57.80,--,"16,125,000.00"
"Feb 13, 2012",409.42,58.13,--,"16,125,000.00"
"Feb 10, 2012",408.37,57.98,--,"16,125,000.00"
"Feb 09, 2012",412.40,58.55,--,"16,125,000.00"
